shepherd	140-2433-B,140-2452-B
source	146-1510-B,146-1523-B,146-1536-B,146-1550-B,146-1564-B,146-1578-B,146-1593-B,146-1607-B,146-1621-B,146-1634-B,146-1646-B
sourness	146-1660-B,146-1677-B,146-1692-B
south	146-1709-B,146-1722-B
souvenir	146-1735-B,146-1749-B,146-1763-B,146-1783-B,146-1803-B,146-1821-B,146-1841-B,146-1855-B
sow	146-1874-B,146-1885-B,146-1902-B
sower	146-1919-B,146-1932-B
space	146-1946-B,146-1959-B
spade	146-1971-B,146-1984-B
span	146-1999-B
spangle	146-2011-B,146-2026-B,146-2041-B,146-2056-B
spar	146-2071-B,146-2085-B
spare	146-2099-B
sparingly	146-2113-B
spark	146-2133-B,146-2146-B,146-2161-B,146-2175-B,146-2190-B,146-2202-B,146-2214-B,146-2226-B
sparkle	146-2238-B,146-2256-B,146-2274-B,146-2292-B,146-2310-B,146-2324-B,146-2339-B,146-2355-B,146-2371-B,146-2386-B,146-2405-B,146-2420-B
sparkling	146-2439-B
spasm	146-2458-B
spatter	146-2470-B
speak	146-2486-B,146-2498-B,146-2510-B
speaker	146-2522-B,146-2543-B,146-2564-B,146-2578-B,146-2592-B,146-2613-B
speaking	146-2634-B,146-2651-B,146-2666-B,146-2683-B,146-2698-B
spear	146-2713-B,146-2726-B,146-2740-B,146-2752-B,146-2765-B,146-2777-B,146-2789-B,146-2802-B,146-2813-B
spearhead	146-2824-B,146-2841-B
special	146-2859-B,146-2874-B,146-2889-B,146-2905-B,147-0-B,147-17-B,147-33-B
specialization	147-50-B,147-74-B
specially	147-97-B,147-116-B,147-135-B
specialty	147-156-B
species	147-171-B,147-184-B,147-197-B
specify	147-211-B,147-225-B
speck	147-242-B,147-254-B,147-267-B
spectacle	147-280-B,147-297-B,147-314-B,147-332-B
spectator	147-350-B,147-368-B
speculate	147-384-B
speculator	147-405-B,147-423-B
speech	147-443-B,147-457-B,147-471-B,147-485-B,147-498-B,147-511-B,147-526-B,147-542-B,147-556-B,147-569-B,147-582-B
speechlessness	147-596-B,147-620-B,147-642-B
speed	147-665-B,147-678-B,147-689-B,147-700-B,147-712-B,147-724-B
speedily	147-737-B,147-757-B,147-771-B,147-789-B
spell	147-804-B,147-820-B
spelling	147-830-B,147-850-B,147-869-B
spend	147-888-B,147-903-B,147-917-B,147-928-B
spending	147-941-B
spendthrift	147-959-B,147-981-B,147-1005-B,147-1028-B,147-1045-B,147-1062-B
sperm	147-1086-B,147-1100-B
spherical	147-1114-B,147-1134-B
spice	147-1153-B,147-1167-B,147-1192-B,147-1206-B
spicy	147-1231-B
spider	147-1246-B
spiel	147-1257-B,147-1269-B
spill	147-1285-B,147-1298-B,147-1312-B
spin	147-1325-B,147-1338-B,147-1351-B
spinach	147-1362-B,147-1378-B,147-1395-B
spindle	147-1409-B,147-1421-B
spine	147-1433-B,147-1455-B
spinsterhood	147-1475-B
spirit	147-1494-B,147-1506-B,147-1520-B,147-1534-B
spiritual	147-1548-B
spit	147-1568-B,147-1579-B
spite	147-1589-B,147-1600-B,147-1611-B,147-1623-B,147-1635-B,147-1647-B,147-1661-B
spiteful	147-1675-B,147-1690-B,147-1703-B,147-1718-B
splendid	147-1732-B,147-1747-B
splendor	147-1762-B,147-1778-B,147-1794-B,147-1810-B,147-1826-B,147-1842-B,147-1858-B,147-1876-B
splice	147-1894-B
splint	147-1908-B,147-1921-B,147-1935-B,147-1950-B
splinter	147-1964-B,147-1980-B,147-1994-B,147-2011-B,147-2027-B,147-2043-B,147-2059-B
split	147-2076-B,147-2088-B,147-2101-B,147-2115-B,147-2127-B,147-2140-B,147-2154-B,147-2166-B,147-2179-B,147-2194-B
spoil	147-2211-B,147-2234-B,147-2248-B,147-2262-B,147-2278-B,147-2290-B,147-2302-B,147-2319-B,147-2333-B,147-2347-B,147-2362-B,147-2376-B,147-2391-B,147-2403-B,147-2416-B,147-2431-B,147-2444-B,147-2456-B,147-2469-B
spoiler	147-2482-B,147-2498-B
spoilt	147-2515-B
spoke	147-2527-B,147-2539-B,147-2551-B,147-2563-B
sponge	147-2575-B,147-2588-B,147-2605-B,147-2620-B,147-2635-B,147-2647-B,147-2659-B,147-2674-B,147-2689-B,147-2704-B
sponger	147-2719-B,147-2733-B,147-2748-B
sponsor	147-2762-B,147-2779-B
sponsorship	147-2796-B
spool	147-2817-B,147-2833-B,147-2843-B,147-2853-B
spoon	147-2869-B,147-2881-B,147-2893-B,147-2905-B,147-2917-B,147-2930-B
sport	147-2943-B,147-2955-B,147-2969-B,147-2982-B,147-2996-B,147-3008-B
sportsman	148-0-B,148-22-B,148-44-B,148-66-B
spot	148-87-B,148-97-B,148-106-B,148-118-B,148-130-B,148-141-B,148-152-B,148-163-B,148-175-B,148-186-B,148-198-B,148-214-B,148-227-B,148-240-B
spout	148-250-B,148-266-B,148-278-B
sprain	148-291-B,148-306-B,148-320-B,148-333-B
sprat	148-347-B,148-358-B
spray	148-369-B,148-388-B,148-402-B,148-417-B,148-436-B,148-449-B,148-462-B
spread	148-475-B,148-488-B,148-502-B,148-515-B,148-528-B,148-542-B,148-558-B,148-574-B,148-590-B,148-607-B,148-620-B,148-634-B,148-647-B
spreader	148-662-B
sprightliness	148-789-B
spring	148-809-B,148-825-B,148-841-B,148-855-B,148-871-B,148-887-B,148-902-B,148-917-B
springy	148-931-B,148-951-B
sprinkle	148-970-B,148-989-B,148-1005-B
sprout	148-1026-B,148-1041-B,148-1057-B,148-1069-B,148-1081-B
spur	148-1094-B,148-1107-B
spurious	148-1120-B
sputnik	148-1136-B
spy	148-1150-B,148-1163-B,148-1173-B,148-1183-B,148-1197-B,148-1210-B,148-1222-B,148-1236-B,148-1247-B,148-1260-B,148-1273-B,148-1283-B,148-1294-B,148-1304-B,148-1316-B,148-1328-B,148-1342-B,148-1353-B,148-1364-B,148-1377-B,148-1390-B
squabble	148-1405-B
squander	148-1421-B,148-1444-B,148-1459-B,148-1477-B,148-1494-B,148-1509-B,148-1524-B,148-1541-B,148-1559-B,148-1577-B
square	148-1592-B,148-1611-B,148-1625-B,148-1639-B,148-1653-B
squash	148-1666-B,148-1681-B
squat	148-1696-B,148-1713-B,148-1728-B
squeeze	148-1739-B,148-1753-B,148-1768-B,148-1783-B,148-1798-B,148-1813-B,148-1828-B,148-1842-B,148-1856-B,148-1871-B,148-1886-B,148-1903-B,148-1918-B,148-1934-B,148-1948-B,148-1962-B,148-1977-B,148-1993-B
squeezing	148-2009-B,148-2025-B
squid	148-2042-B,148-2054-B
squint	148-2066-B,148-2082-B
squirrel	148-2103-B,148-2119-B,148-2135-B,148-2150-B,148-2165-B,148-2180-B
stab	148-2196-B,148-2208-B,148-2220-B
stability	148-2232-B,148-2250-B,148-2267-B,148-2288-B,148-2306-B,148-2325-B
stabilization	148-2344-B,148-2370-B
stabilize	148-2394-B,148-2414-B
stable	148-2435-B,148-2447-B,148-2461-B,148-2474-B,148-2491-B,148-2508-B,148-2522-B
stack	148-2534-B
stadium	148-2550-B,148-2565-B
staff	148-2580-B,148-2596-B
stage	148-2611-B,148-2623-B,148-2634-B,148-2645-B,148-2657-B,148-2669-B,148-2682-B,148-2696-B,148-2711-B,148-2726-B
stagger	148-2741-B,148-2758-B,148-2772-B,148-2790-B,148-2808-B,148-2826-B,148-2844-B,148-2862-B,148-2880-B,148-2898-B,148-2913-B,148-2931-B,148-2946-B,148-2966-B,148-2980-B,148-2998-B,148-3013-B
staggering	148-3033-B,148-3050-B,148-3066-B
stagnate	148-3086-B,148-3100-B
stagnation	149-0-B,149-19-B
stain	149-36-B,149-47-B,149-57-B,149-70-B
stake	149-82-B,149-97-B,149-112-B,149-127-B,149-143-B,149-156-B,149-169-B,149-182-B
stalk	149-196-B,149-209-B,149-227-B,149-241-B,149-257-B,149-272-B,149-284-B
stamina	149-296-B,149-309-B,149-323-B,149-338-B
stammer	149-353-B,149-370-B,149-388-B,149-404-B,149-419-B,149-436-B
stammerer	149-454-B,149-475-B
stamp	149-496-B,149-509-B,149-527-B,149-539-B,149-552-B,149-565-B,149-578-B
stand	149-591-B,149-605-B,149-621-B,149-638-B,149-652-B,149-669-B,149-681-B,149-695-B,149-708-B,149-721-B,149-734-B,149-747-B,149-760-B
standard	149-771-B,149-788-B,149-805-B,149-821-B,149-838-B
standardize	149-855-B
standpoint	149-878-B,149-893-B
staple	149-908-B,149-922-B
starch	149-934-B,149-947-B,149-960-B,149-973-B,149-986-B,149-1000-B,149-1014-B,149-1028-B
stare	149-1041-B,149-1055-B,149-1074-B,149-1087-B,149-1106-B,149-1120-B,149-1134-B,149-1149-B
starfish	149-1163-B,149-1187-B
start	149-1211-B,149-1223-B,149-1238-B,149-1256-B,149-1274-B,149-1287-B,149-1302-B,149-1314-B,149-1328-B,149-1345-B,149-1363-B,149-1381-B,149-1394-B,149-1407-B,149-1419-B,149-1431-B,149-1447-B,149-1463-B,149-1476-B,149-1489-B
starter	149-1503-B,149-1519-B
startle	149-1535-B,149-1553-B,149-1573-B,149-1593-B,149-1613-B,149-1629-B,149-1644-B,149-1661-B,149-1679-B,149-1695-B,149-1716-B,149-1732-B,149-1747-B,149-1761-B,149-1777-B
state	149-1797-B,149-1817-B,149-1830-B,149-1841-B,149-1853-B
statement	149-1867-B,149-1883-B,149-1900-B,149-1917-B,149-1935-B,149-1954-B,149-1969-B,149-1987-B,149-2005-B,149-2023-B,149-2041-B,149-2057-B
statesman	149-2074-B
station	149-2091-B,149-2105-B,149-2119-B,149-2133-B,149-2150-B,149-2167-B
stature	149-2181-B,149-2194-B,149-2211-B,149-2225-B,149-2239-B,149-2254-B
status	149-2267-B,149-2279-B,149-2292-B,149-2305-B,149-2318-B,149-2332-B,149-2346-B,149-2361-B,149-2375-B,149-2389-B,149-2403-B
statute	149-2415-B,149-2432-B
stay	149-2448-B,149-2459-B,149-2469-B,149-2481-B,149-2491-B,149-2505-B,149-2517-B,149-2529-B,149-2539-B,149-2551-B
stay at home	149-2563-B,149-2583-B
steadfast	149-2604-B,149-2624-B,149-2640-B
steadfastness	149-2658-B,149-2678-B,149-2698-B,149-2720-B,149-2743-B
steady	149-2766-B
steal	149-2779-B,149-2794-B,149-2808-B,149-2819-B,149-2833-B,149-2847-B,149-2865-B,149-2877-B,149-2889-B,149-2901-B
stealing	149-2913-B,149-2927-B,149-2941-B
stealthily	149-2955-B,149-2979-B,149-3003-B,149-3029-B
steam	149-3051-B,150-0-B,150-15-B,150-30-B,150-43-B,150-57-B,150-69-B,150-81-B,150-93-B,150-105-B,150-117-B,150-128-B
steamer	150-139-B,150-154-B,150-169-B,150-183-B
steamship	150-197-B,150-216-B,150-235-B,150-252-B,150-269-B,150-285-B
steamy	150-301-B
steel	150-315-B,150-327-B,150-340-B,150-350-B,150-360-B
steep	150-372-B
steer	150-387-B,150-400-B
steering	150-415-B
stem	150-435-B,150-446-B,150-456-B,150-467-B
stench	150-476-B,150-491-B
step	150-504-B
steppe	150-518-B,150-532-B,150-545-B,150-558-B
sterile	150-570-B
sterility	150-584-B,150-599-B,150-614-B
stern	150-630-B,150-643-B
stew	150-656-B
stewardship	150-669-B,150-689-B
stick	150-709-B,150-720-B,150-734-B,150-747-B,150-761-B,150-778-B,150-793-B,150-815-B,150-827-B,150-841-B,150-854-B,150-867-B,150-880-B,150-893-B,150-905-B,150-917-B,150-928-B,150-941-B,150-952-B,150-964-B,150-978-B,150-993-B,150-1009-B,150-1025-B,150-1038-B,150-1052-B,150-1067-B,150-1079-B,150-1092-B,150-1104-B,150-1116-B,150-1128-B,150-1141-B,150-1154-B,150-1167-B
sticker	150-1178-B,150-1196-B
stiff	150-1214-B,150-1226-B
stiffen	150-1239-B
stiffness	150-1258-B,150-1276-B
still	150-1295-B,150-1310-B,150-1321-B,150-1333-B,150-1347-B,150-1358-B
stimulate	150-1371-B,150-1392-B,150-1412-B,150-1429-B,150-1450-B,150-1470-B,150-1491-B,150-1509-B
stimulation	150-1529-B,150-1548-B,150-1566-B,150-1584-B,150-1601-B
sting	150-1620-B,150-1636-B,150-1649-B,150-1662-B
stinginess	150-1672-B,150-1689-B,150-1708-B,150-1726-B
stingy	150-1746-B,150-1761-B,150-1776-B,150-1794-B,150-1809-B
stink	150-1826-B,150-1838-B
stint	150-1851-B
stipulation	150-1862-B,150-1887-B
stir	150-1910-B,150-1921-B,150-1934-B,150-1947-B,150-1961-B,150-1974-B
stirring	150-1985-B,150-2003-B
stitch	150-2022-B,150-2038-B,150-2052-B,150-2066-B,150-2081-B,150-2096-B,150-2109-B,150-2122-B,150-2136-B
stock	150-2150-B,150-2164-B,150-2176-B,150-2188-B,150-2202-B,150-2214-B,150-2225-B,150-2236-B,150-2247-B
stockpile	150-2258-B
stomach	150-2278-B,150-2295-B,150-2311-B,150-2327-B,150-2341-B,150-2358-B
stone	150-2374-B,150-2385-B,150-2396-B,150-2409-B,150-2422-B,150-2434-B
stooge	150-2445-B,150-2460-B
stool	150-2473-B,150-2484-B,150-2497-B,150-2510-B
stoop	150-2521-B
stop	150-2536-B,150-2547-B,150-2557-B,150-2570-B,150-2581-B,150-2593-B,150-2604-B,150-2616-B,150-2629-B,150-2645-B,150-2656-B,150-2666-B,150-2682-B,150-2693-B,150-2706-B,150-2715-B,150-2725-B,150-2736-B,150-2747-B,150-2761-B
stoppage	150-2775-B,150-2792-B
stopper	150-2807-B,150-2822-B,151-0-B,151-14-B
stopping	151-27-B
store	151-47-B,151-63-B,151-77-B,151-89-B,151-100-B,151-111-B,151-122-B
storehouse	151-133-B,151-152-B,151-169-B,151-185-B,151-201-B,151-217-B
storey	151-233-B,151-248-B
story	151-263-B,151-277-B,151-291-B,151-303-B
storyteller	151-315-B,151-335-B,151-355-B,151-373-B
stoutness	151-391-B,151-406-B,151-422-B
stow	151-438-B
straddle	151-450-B,151-466-B
straight	151-484-B,151-499-B,151-513-B
straighten	151-527-B,151-543-B,151-563-B,151-584-B
straightforward	151-603-B,151-625-B,151-649-B
straightforwardness	151-671-B
straightness	151-698-B,151-717-B
strain	151-737-B,151-750-B,151-764-B,151-777-B,151-793-B
strainer	151-805-B,151-821-B,151-839-B,151-856-B,151-874-B,151-890-B,151-905-B,151-923-B
straining	151-940-B,151-960-B,151-979-B
strand	151-996-B,151-1012-B,151-1025-B
strange	151-1036-B,151-1050-B,151-1064-B,151-1079-B,151-1092-B
strangeness	151-1106-B,151-1124-B
strangle	151-1143-B,151-1160-B
stratagem	151-1181-B,151-1200-B
stratum	151-1219-B,151-1238-B,151-1255-B,151-1272-B,151-1285-B,151-1298-B
stream	151-1313-B,151-1330-B,151-1343-B,151-1357-B,151-1372-B
strength	151-1386-B,151-1400-B,151-1414-B,151-1428-B,151-1442-B,151-1457-B,151-1471-B,151-1486-B,151-1502-B,151-1520-B,151-1537-B,151-1552-B,151-1567-B,151-1582-B,151-1599-B,151-1616-B,151-1630-B,151-1644-B,151-1660-B,151-1676-B,151-1691-B,151-1705-B,151-1719-B,151-1734-B,151-1751-B,151-1769-B,151-1787-B
strengthen	151-1805-B,151-1826-B,151-1845-B,151-1868-B
strengthening	151-1887-B,151-1906-B,151-1927-B
stress	151-1951-B,151-1969-B,151-1986-B,151-2000-B,151-2020-B,151-2032-B,151-2046-B,151-2061-B,151-2077-B,151-2090-B
stretch	151-2104-B,151-2120-B,151-2134-B,151-2148-B,151-2161-B,151-2178-B,151-2194-B
stretcher	151-2208-B,151-2226-B,151-2244-B,151-2262-B,151-2277-B
strew	151-2295-B,151-2310-B
strict	151-2322-B,151-2335-B
strictness	151-2352-B,151-2369-B
stride	151-2388-B,151-2402-B
strife	151-2417-B,151-2431-B,151-2445-B,151-2458-B,151-2471-B,151-2484-B,151-2497-B,151-2512-B
strike	151-2525-B,151-2540-B,151-2555-B,151-2568-B,151-2582-B,151-2597-B,151-2612-B,151-2624-B,151-2637-B,151-2652-B,151-2665-B,151-2679-B,151-2692-B,151-2705-B,151-2718-B,151-2730-B,151-2743-B,151-2758-B,151-2774-B,151-2789-B,151-2802-B,151-2816-B,151-2829-B,151-2844-B
striking	151-2860-B,151-2876-B,151-2891-B,151-2908-B
string	151-2926-B,151-2939-B,151-2953-B,151-2967-B,151-2983-B,151-3000-B,151-3016-B,151-3031-B,151-3044-B,151-3057-B,151-3071-B,151-3084-B,151-3096-B
strip	151-3107-B,152-0-B,152-15-B,152-28-B,152-39-B,152-51-B
stripe	152-63-B,152-80-B,152-98-B,152-113-B,152-128-B
stripping	152-145-B,152-161-B,152-176-B
strive	152-192-B,152-208-B
striving	152-223-B,152-242-B,152-257-B,152-272-B
stroke	152-289-B,152-312-B,152-326-B,152-340-B,152-353-B,152-368-B,152-383-B,152-397-B,152-409-B,152-422-B
stroll	152-435-B,152-450-B,152-464-B,152-477-B,152-494-B,152-511-B
strong	152-526-B,152-539-B,152-552-B,152-566-B,152-579-B,152-593-B,152-607-B,152-620-B,152-632-B,152-644-B,152-659-B,152-676-B,152-689-B,152-703-B,152-718-B,152-731-B,152-749-B
strongly	152-760-B
strontium	152-779-B
